,Unnamed: 0,anho,ciclo,CodCarSec,Convocatoria,Anho,Semestre,Aprobado,AnhoFirma,PrimerPar,SegundoPar,AOT,Primer.Rec,SegundoRec,NotaFinal,id_anony
135274,757,2017,1,ELE-PLS13,1,2017,1,N,2017,14,9,0,0,0,,es_6105
135275,758,2017,1,ELE-PLS13,1,2017,1,N,2016,0,0,0,0,0,3F-C-1,es_4825
135276,759,2017,1,CIV-PLS13,1,2017,1,S,2017,14,17,0,0,0,1F-C-2,es_5407
135277,760,2017,1,CIV-PLS13,1,2017,1,S,2017,24,22,0,0,0,1F-C-4,es_6117
135278,761,2017,1,MCT-PLS13,1,2017,1,S,2017,20,30,0,0,0,1F-C-5,es_6118
135279,762,2017,1,CIV-PLS13,1,2017,1,N,2017,20,11,0,0,0,2F-C-1,es_4830
135280,763,2017,1,CIV-PLS13,1,2017,1,S,2017,22,23,0,0,0,1F-C-4,es_6123
135281,764,2017,1,ECA-PLS13,1,2017,1,S,2017,14,22,0,0,0,1F-C-4,es_6124
135282,765,2017,1,ECA-PLS13,1,2017,1,S,2017,14,20,0,0,0,1F-C-2,es_5413
135283,766,2017,1,IND-PLS13,1,2017,1,N,2017,16,22,0,0,0,,es_6128
135284,767,2017,1,CIV-PLS13,1,2017,1,N,2017,16,2,0,0,0,,es_5416
135285,768,2017,1,CIV-PLS13,1,2017,1,S,2017,20,26,0,0,0,1F-C-3,es_6130
135286,769,2017,1,CGF-PLS13,1,2017,1,N,0,19,0,0,0,0,,es_4838
135287,770,2017,1,CIV-PLS13,1,2017,1,S,2017,21,17,0,0,0,1F-C-3,es_6134
135288,771,2017,1,CIV-PLS13,1,2017,1,S,2016,0,0,0,0,0,2F-2,es_5418
135289,772,2017,1,MCT-PLS13,1,2017,1,S,2017,18,19,0,0,0,1F-C-3,es_6135
135290,773,2017,1,IND-PLS13,1,2017,1,S,2017,22,24,0,0,0,1F-C-5,es_6136
135291,774,2017,1,MCT-PLS13,1,2017,1,S,2017,20,0,0,0,0,3F-C-2,es_5420
135292,775,2017,1,CIV-PLS13,1,2017,1,N,0,15,0,0,0,0,,es_5421
135293,776,2017,1,CIV-PLS13,1,2017,1,N,2017,24,19,0,0,0,,es_5422
135294,777,2017,1,CIV-PLS13,1,2017,1,S,2017,16,16,0,0,0,"2F-C-1,3F-C-4",es_6138
135295,778,2017,1,CIV-PLS13,1,2017,1,S,2017,22,20,0,0,0,1F-C-4,es_6147
135296,779,2017,1,MCT-PLS13,1,2017,1,N,0,0,0,0,0,0,,es_4845
135297,780,2017,1,CIV-PLS13,1,2017,1,S,2017,23,4,0,0,0,"2F-C-1,3F-C-4",es_5429
135298,781,2017,1,ECA-PLS13,1,2017,1,S,2017,21,21,0,0,0,1F-C-5,es_6154
135299,782,2017,1,CIV-PLS13,1,2017,1,S,2016,0,0,0,0,0,"2F-C-1,3F-C-3",es_4849
135300,783,2017,1,ELE-PLS13,1,2017,1,N,0,19,3,0,0,0,,es_5433
135301,784,2017,1,CIV-PLS13,1,2017,1,S,2017,24,23,0,0,0,1F-C-5,es_6159
135302,785,2017,1,IND-PLS13,1,2017,1,S,2017,20,19,0,0,0,1F-C-4,es_5437
135303,786,2017,1,ELE-PLS13,1,2017,1,N,0,17,0,0,0,0,,es_6161
135304,787,2017,1,CIV-PLS13,1,2017,1,N,0,20,0,0,0,0,,es_5438
135305,788,2017,1,ELE-PLS13,1,2017,1,N,0,9,7,0,0,0,,es_6162
135306,789,2017,1,CIV-PLS13,1,2017,1,S,2017,14,23,0,0,0,3F-C-2,es_6163
135307,790,2017,1,CIV-PLS13,1,2017,1,S,2017,24,11,0,0,0,3F-C-4,es_4852
135308,791,2017,1,MCT-PLS13,1,2017,1,N,0,0,0,0,0,0,,es_4187
135309,792,2017,1,ELE-PLS13,1,2017,1,N,0,15,0,0,0,0,,es_6168
135310,793,2017,1,CIV-PLS13,1,2017,1,S,2017,20,23,0,0,0,1F-C-5,es_6173
135311,794,2017,1,MEC-PLS13,1,2017,1,S,2017,24,23,0,0,0,1F-C-5,es_6176
135312,795,2017,1,MCT-PLS13,1,2017,1,N,0,0,0,0,0,0,,es_5447
135313,796,2017,1,MCT-PLS13,1,2017,1,S,2017,18,9,0,0,0,2F-C-4,es_6184
135314,797,2017,1,ELE-PLS13,1,2017,1,S,2017,23,14,0,0,0,1F-C-4,es_4857
135315,798,2017,1,ELE-PLS13,1,2017,1,S,2017,13,9,0,0,0,3F-C-3,es_5453
135316,799,2017,1,ELE-PLS13,1,2017,1,S,2017,19,19,0,0,0,1F-C-4,es_6198
135317,800,2017,1,ELE-PLS13,1,2017,1,S,2017,23,14,0,0,0,1F-C-3,es_6202
135318,801,2017,1,ELE-PLS13,1,2017,1,S,2017,20,10,0,0,0,3F-C-3,es_6207
135319,802,2017,1,IND-PLS13,1,2017,1,S,2017,17,0,0,0,0,3F-C-4,es_6211
135320,803,2017,1,CIV-PLS13,1,2017,1,S,2017,20,24,0,0,0,1F-C-4,es_6212
135321,804,2017,1,CIV-PLS13,1,2017,1,S,2016,20,15,0,0,0,"1F-C-1,2F-C-1,3F-C-2",es_5459
135322,805,2017,1,CIV-PLS13,1,2017,1,S,2017,13,5,0,0,0,"2F-C-1,3F-C-4",es_5460
135323,806,2017,1,MCT-PLS13,1,2017,1,S,2017,24,12,0,0,0,1F-C-4,es_5461
